Slide,Index,cell_ID,cluster
m3B,227,m3B_26_target4,5
m3B,295,m3B_38_target8,5
m3B,166,m3B_50_target8,5
m4A,72,m4A_14_target8,5
m4A,58,m4A_18_target4,5
m4A,84,m4A_20_target8,5
m4A,178,m4A_45_target4,5
m4A,188,m4A_50_target4,5
m4A,190,m4A_51_target4,5
m4A,246,m4A_57_target8,5
m4A,230,m4A_60_target4,5
m4A,240,m4A_65_target4,5
m4A,262,m4A_65_target8,5
m4A,302,m4A_74_target8,5
m5C,38,m5C_08_target8,5
m5C,54,m5C_16_target4,5
m5C,56,m5C_17_target4,5
m5C,158,m5C_35_target8,5
m5C,166,m5C_39_target8,5
m5C,168,m5C_40_target8,5
m5C,248,m5C_58_target8,5
m5C,278,m5C_73_target4,5
m5C,280,m5C_74_target4,5
m5C,302,m5C_74_target8,5
m3B,249,m3B_26_target8,4
m3B,299,m3B_40_target8,4
m3B,285,m3B_44_target4,4
m3B,158,m3B_46_target8,4
m3B,184,m3B_59_target4,4
m3B,190,m3B_62_target4,4
m3B,218,m3B_65_target8,4
m3B,244,m3B_67_target8,4
m3B,246,m3B_68_target8,4
m3B,252,m3B_71_target8,4
m3B,262,m3B_76_target8,4
m4A,4,m4A_02_target4,4
m4A,6,m4A_03_target4,4
m4A,16,m4A_08_target4,4
m4A,82,m4A_19_target8,4
m4A,122,m4A_28_target8,4
m4A,124,m4A_29_target8,4
m4A,108,m4A_32_target4,4
m4A,182,m4A_47_target4,4
m4A,184,m4A_48_target4,4
m4A,186,m4A_49_target4,4
m4A,210,m4A_50_target8,4
m4A,220,m4A_55_target8,4
m4A,222,m4A_56_target4,4
m4A,226,m4A_58_target4,4
m4A,250,m4A_59_target8,4
m4A,232,m4A_61_target4,4
m4A,238,m4A_64_target4,4
m4A,260,m4A_64_target8,4
m4A,264,m4A_66_target8,4
m4A,292,m4A_69_target8,4
m4A,274,m4A_71_target4,4
m4A,280,m4A_74_target4,4
m4A,282,m4A_75_target4,4
m5C,24,m5C_01_target8,4
m5C,44,m5C_11_target8,4
m5C,76,m5C_16_target8,4
m5C,78,m5C_17_target8,4
m5C,80,m5C_18_target8,4
m5C,66,m5C_22_target4,4
m5C,88,m5C_22_target8,4
m5C,98,m5C_27_target4,4
m5C,160,m5C_36_target8,4
m5C,162,m5C_37_target8,4
m5C,234,m5C_62_target4,4
m5C,290,m5C_68_target8,4
m5C,298,m5C_72_target8,4
m5C,284,m5C_76_target4,4
m3B,133,m3B_01_target4,3
m3B,135,m3B_02_target4,3
m3B,199,m3B_12_target8,3
m3B,185,m3B_16_target4,3
m3B,207,m3B_16_target8,3
m3B,215,m3B_20_target8,3
m3B,195,m3B_21_target4,3
m3B,219,m3B_22_target8,3
m3B,221,m3B_23_target4,3
m3B,243,m3B_23_target8,3
m3B,229,m3B_27_target4,3
m3B,231,m3B_28_target4,3
m3B,233,m3B_29_target4,3
m3B,235,m3B_30_target4,3
m3B,267,m3B_35_target4,3
m3B,297,m3B_39_target8,3
m3B,301,m3B_41_target8,3
m3B,281,m3B_42_target4,3
m3B,164,m3B_49_target8,3
m3B,150,m3B_53_target4,3
m3B,180,m3B_57_target4,3
m3B,214,m3B_63_target8,3
m3B,224,m3B_68_target4,3
m3B,226,m3B_69_target4,3
m3B,248,m3B_69_target8,3
m3B,228,m3B_70_target4,3
m3B,230,m3B_71_target4,3
m3B,260,m3B_75_target8,3
m4A,32,m4A_05_target8,3
m4A,12,m4A_06_target4,3
m4A,14,m4A_07_target4,3
m4A,40,m4A_09_target8,3
m4A,46,m4A_12_target4,3
m4A,68,m4A_12_target8,3
m4A,48,m4A_13_target4,3
m4A,76,m4A_16_target8,3
m4A,80,m4A_18_target8,3
m4A,64,m4A_21_target4,3
m4A,66,m4A_22_target4,3
m4A,88,m4A_22_target8,3
m4A,116,m4A_25_target8,3
m4A,102,m4A_29_target4,3
m4A,106,m4A_31_target4,3
m4A,128,m4A_31_target8,3
m4A,136,m4A_35_target4,3
m4A,138,m4A_36_target4,3
m4A,204,m4A_47_target8,3
m4A,192,m4A_52_target4,3
m4A,194,m4A_53_target4,3
m4A,224,m4A_57_target4,3
m4A,254,m4A_61_target8,3
m4A,258,m4A_63_target8,3
m4A,242,m4A_66_target4,3
m4A,268,m4A_68_target4,3
m4A,290,m4A_68_target8,3
m4A,300,m4A_73_target8,3
m5C,4,m5C_02_target4,3
m5C,18,m5C_09_target4,3
m5C,40,m5C_09_target8,3
m5C,42,m5C_10_target8,3
m5C,72,m5C_14_target8,3
m5C,74,m5C_15_target8,3
m5C,82,m5C_19_target8,3
m5C,92,m5C_24_target4,3
m5C,114,m5C_24_target8,3
m5C,96,m5C_26_target4,3
m5C,118,m5C_26_target8,3
m5C,122,m5C_28_target8,3
m5C,106,m5C_31_target4,3
m5C,128,m5C_31_target8,3
m5C,108,m5C_32_target4,3
m5C,132,m5C_33_target8,3
m5C,164,m5C_38_target8,3
m5C,202,m5C_46_target8,3
m5C,190,m5C_51_target4,3
m5C,194,m5C_53_target4,3
m5C,216,m5C_53_target8,3
m5C,222,m5C_56_target4,3
m5C,230,m5C_60_target4,3
m5C,236,m5C_63_target4,3
m5C,238,m5C_64_target4,3
m5C,240,m5C_65_target4,3
m5C,242,m5C_66_target4,3
m5C,292,m5C_69_target8,3
m5C,272,m5C_70_target4,3
m5C,294,m5C_70_target8,3
m5C,274,m5C_71_target4,3
m5C,300,m5C_73_target8,3
m3B,151,m3B_10_target4,2
m3B,179,m3B_13_target4,2
m3B,205,m3B_15_target8,2
m3B,209,m3B_17_target8,2
m3B,211,m3B_18_target8,2
m3B,257,m3B_30_target8,2
m3B,259,m3B_31_target8,2
m3B,261,m3B_32_target8,2
m3B,263,m3B_33_target8,2
m3B,265,m3B_34_target4,2
m3B,293,m3B_37_target8,2
m3B,283,m3B_43_target4,2
m3B,134,m3B_45_target4,2
m3B,156,m3B_45_target8,2
m3B,202,m3B_57_target8,2
m3B,182,m3B_58_target4,2
m3B,208,m3B_60_target8,2
m3B,212,m3B_62_target8,2
m3B,192,m3B_63_target4,2
m3B,222,m3B_67_target4,2
m3B,250,m3B_70_target8,2
m3B,232,m3B_72_target4,2
m3B,234,m3B_73_target4,2
m3B,256,m3B_73_target8,2
m3B,238,m3B_75_target4,2
m3B,240,m3B_76_target4,2
m3B,264,m3B_77_target8,2
m4A,2,m4A_01_target4,2
m4A,24,m4A_01_target8,2
m4A,8,m4A_04_target4,2
m4A,30,m4A_04_target8,2
m4A,10,m4A_05_target4,2
m4A,38,m4A_08_target8,2
m4A,20,m4A_10_target4,2
m4A,42,m4A_10_target8,2
m4A,22,m4A_11_target4,2
m4A,44,m4A_11_target8,2
m4A,50,m4A_14_target4,2
m4A,54,m4A_16_target4,2
m4A,60,m4A_19_target4,2
m4A,86,m4A_21_target8,2
m4A,98,m4A_27_target4,2
m4A,104,m4A_30_target4,2
m4A,110,m4A_33_target4,2
m4A,156,m4A_34_target8,2
m4A,158,m4A_35_target8,2
m4A,162,m4A_37_target8,2
m4A,166,m4A_39_target8,2
m4A,146,m4A_40_target4,2
m4A,168,m4A_40_target8,2
m4A,148,m4A_41_target4,2
m4A,152,m4A_43_target4,2
m4A,202,m4A_46_target8,2
m4A,206,m4A_48_target8,2
m4A,212,m4A_51_target8,2
m4A,214,m4A_52_target8,2
m4A,196,m4A_54_target4,2
m4A,218,m4A_54_target8,2
m4A,244,m4A_56_target8,2
m4A,236,m4A_63_target4,2
m4A,272,m4A_70_target4,2
m4A,286,m4A_77_target4,2
m5C,2,m5C_01_target4,2
m5C,26,m5C_02_target8,2
m5C,6,m5C_03_target4,2
m5C,8,m5C_04_target4,2
m5C,32,m5C_05_target8,2
m5C,34,m5C_06_target8,2
m5C,20,m5C_10_target4,2
m5C,46,m5C_12_target4,2
m5C,70,m5C_13_target8,2
m5C,52,m5C_15_target4,2
m5C,60,m5C_19_target4,2
m5C,100,m5C_28_target4,2
m5C,134,m5C_34_target4,2
m5C,142,m5C_38_target4,2
m5C,152,m5C_43_target4,2
m5C,154,m5C_44_target4,2
m5C,200,m5C_45_target8,2
m5C,180,m5C_46_target4,2
m5C,182,m5C_47_target4,2
m5C,204,m5C_47_target8,2
m5C,208,m5C_49_target8,2
m5C,188,m5C_50_target4,2
m5C,214,m5C_52_target8,2
m5C,198,m5C_55_target4,2
m5C,220,m5C_55_target8,2
m5C,252,m5C_60_target8,2
m5C,260,m5C_64_target8,2
m5C,268,m5C_68_target4,2
m5C,270,m5C_69_target4,2
m5C,296,m5C_71_target8,2
m5C,276,m5C_72_target4,2
m5C,282,m5C_75_target4,2
m3B,155,m3B_01_target8,1
m3B,157,m3B_02_target8,1
m3B,137,m3B_03_target4,1
m3B,139,m3B_04_target4,1
m3B,141,m3B_05_target4,1
m3B,165,m3B_06_target8,1
m3B,167,m3B_07_target8,1
m3B,173,m3B_10_target8,1
m3B,175,m3B_11_target8,1
m3B,177,m3B_12_target4,1
m3B,183,m3B_15_target4,1
m3B,187,m3B_17_target4,1
m3B,191,m3B_19_target4,1
m3B,193,m3B_20_target4,1
m3B,197,m3B_22_target4,1
m3B,223,m3B_24_target4,1
m3B,245,m3B_24_target8,1
m3B,225,m3B_25_target4,1
m3B,247,m3B_25_target8,1
m3B,251,m3B_27_target8,1
m3B,239,m3B_32_target4,1
m3B,287,m3B_34_target8,1
m3B,289,m3B_35_target8,1
m3B,269,m3B_36_target4,1
m3B,271,m3B_37_target4,1
m3B,136,m3B_46_target4,1
m3B,138,m3B_47_target4,1
m3B,140,m3B_48_target4,1
m3B,144,m3B_50_target4,1
m3B,168,m3B_51_target8,1
m3B,170,m3B_52_target8,1
m3B,172,m3B_53_target8,1
m3B,174,m3B_54_target8,1
m3B,154,m3B_55_target4,1
m3B,176,m3B_55_target8,1
m3B,200,m3B_56_target8,1
m3B,204,m3B_58_target8,1
m3B,206,m3B_59_target8,1
m3B,186,m3B_60_target4,1
m3B,188,m3B_61_target4,1
m3B,198,m3B_66_target4,1
m3B,220,m3B_66_target8,1
m3B,236,m3B_74_target4,1
m3B,258,m3B_74_target8,1
m4A,26,m4A_02_target8,1
m4A,28,m4A_03_target8,1
m4A,34,m4A_06_target8,1
m4A,36,m4A_07_target8,1
m4A,18,m4A_09_target4,1
m4A,70,m4A_13_target8,1
m4A,52,m4A_15_target4,1
m4A,74,m4A_15_target8,1
m4A,56,m4A_17_target4,1
m4A,78,m4A_17_target8,1
m4A,62,m4A_20_target4,1
m4A,90,m4A_23_target4,1
m4A,92,m4A_24_target4,1
m4A,114,m4A_24_target8,1
m4A,94,m4A_25_target4,1
m4A,96,m4A_26_target4,1
m4A,118,m4A_26_target8,1
m4A,120,m4A_27_target8,1
m4A,100,m4A_28_target4,1
m4A,126,m4A_30_target8,1
m4A,130,m4A_32_target8,1
m4A,132,m4A_33_target8,1
m4A,134,m4A_34_target4,1
m4A,160,m4A_36_target8,1
m4A,140,m4A_37_target4,1
m4A,142,m4A_38_target4,1
m4A,164,m4A_38_target8,1
m4A,144,m4A_39_target4,1
m4A,170,m4A_41_target8,1
m4A,172,m4A_42_target8,1
m4A,174,m4A_43_target8,1
m4A,154,m4A_44_target4,1
m4A,176,m4A_44_target8,1
m4A,200,m4A_45_target8,1
m4A,180,m4A_46_target4,1
m4A,208,m4A_49_target8,1
m4A,216,m4A_53_target8,1
m4A,198,m4A_55_target4,1
m4A,228,m4A_59_target4,1
m4A,252,m4A_60_target8,1
m4A,234,m4A_62_target4,1
m4A,256,m4A_62_target8,1
m4A,288,m4A_67_target8,1
m4A,270,m4A_69_target4,1
m4A,294,m4A_70_target8,1
m4A,296,m4A_71_target8,1
m4A,276,m4A_72_target4,1
m4A,298,m4A_72_target8,1
m4A,278,m4A_73_target4,1
m4A,284,m4A_76_target4,1
m5C,28,m5C_03_target8,1
m5C,30,m5C_04_target8,1
m5C,10,m5C_05_target4,1
m5C,12,m5C_06_target4,1
m5C,14,m5C_07_target4,1
m5C,36,m5C_07_target8,1
m5C,16,m5C_08_target4,1
m5C,68,m5C_12_target8,1
m5C,48,m5C_13_target4,1
m5C,50,m5C_14_target4,1
m5C,58,m5C_18_target4,1
m5C,62,m5C_20_target4,1
m5C,84,m5C_20_target8,1
m5C,64,m5C_21_target4,1
m5C,86,m5C_21_target8,1
m5C,90,m5C_23_target4,1
m5C,112,m5C_23_target8,1
m5C,94,m5C_25_target4,1
m5C,116,m5C_25_target8,1
m5C,120,m5C_27_target8,1
m5C,102,m5C_29_target4,1
m5C,104,m5C_30_target4,1
m5C,126,m5C_30_target8,1
m5C,130,m5C_32_target8,1
m5C,156,m5C_34_target8,1
m5C,136,m5C_35_target4,1
m5C,138,m5C_36_target4,1
m5C,140,m5C_37_target4,1
m5C,144,m5C_39_target4,1
m5C,146,m5C_40_target4,1
m5C,148,m5C_41_target4,1
m5C,170,m5C_41_target8,1
m5C,150,m5C_42_target4,1
m5C,172,m5C_42_target8,1
m5C,174,m5C_43_target8,1
m5C,176,m5C_44_target8,1
m5C,178,m5C_45_target4,1
m5C,184,m5C_48_target4,1
m5C,206,m5C_48_target8,1
m5C,186,m5C_49_target4,1
m5C,210,m5C_50_target8,1
m5C,212,m5C_51_target8,1
m5C,192,m5C_52_target4,1
m5C,196,m5C_54_target4,1
m5C,218,m5C_54_target8,1
m5C,244,m5C_56_target8,1
m5C,224,m5C_57_target4,1
m5C,246,m5C_57_target8,1
m5C,226,m5C_58_target4,1
m5C,228,m5C_59_target4,1
m5C,250,m5C_59_target8,1
m5C,232,m5C_61_target4,1
m5C,254,m5C_61_target8,1
m5C,256,m5C_62_target8,1
m5C,258,m5C_63_target8,1
m5C,262,m5C_65_target8,1
m5C,264,m5C_66_target8,1
m5C,266,m5C_67_target4,1
m5C,288,m5C_67_target8,1
m5C,286,m5C_77_target4,1
