bio_ID	Index	run	label_short	cell_ID	dist_to_central_vein(pixels)	dist_to_portal_vein(pixels)	sum_distance	ratio
m1A	16	8	4	m1A_08_DimethNter4	140	NA	NA	NA
m1A	34	6	8	m1A_06_DimethNter8	747	NA	NA	NA
m1A	42	10	8	m1A_10_DimethNter8	433	NA	NA	NA
m1A	60	20	4	m1A_20_DimethNter4	546	NA	NA	NA
m1A	62	21	4	m1A_21_DimethNter4	694	NA	NA	NA
m1A	76	28	4	m1A_28_DimethNter4	442	NA	NA	NA
m1A	78	29	4	m1A_29_DimethNter4	611	NA	NA	NA
m1A	112	25	8	m1A_25_DimethNter8	256	NA	NA	NA
m1A	114	26	8	m1A_26_DimethNter8	426	NA	NA	NA
m1A	120	29	8	m1A_29_DimethNter8	635	NA	NA	NA
m1A	126	32	8	m1A_32_DimethNter8	124	NA	NA	NA
m4A	12	6	4	m4A_06_DimethNter4	222	NA	NA	NA
m4A	14	7	4	m4A_07_DimethNter4	1041	NA	NA	NA
m4A	24	1	8	m4A_01_DimethNter8	NA	NA	NA	NA
m4A	32	5	8	m4A_05_DimethNter8	258	NA	NA	NA
m4A	46	12	4	m4A_12_DimethNter4	262	NA	NA	NA
m4A	68	12	8	m4A_12_DimethNter8	NA	876	NA	NA
m4A	70	13	8	m4A_13_DimethNter8	NA	NA	NA	NA
m4A	82	19	8	m4A_19_DimethNter8	263	NA	NA	NA
m4A	96	26	4	m4A_26_DimethNter4	NA	602	NA	NA
m4A	100	28	4	m4A_28_DimethNter4	NA	846	NA	NA
m4A	118	26	8	m4A_26_DimethNter8	NA	NA	NA	NA
m4A	120	27	8	m4A_27_DimethNter8	NA	NA	NA	NA
m4A	124	29	8	m4A_29_DimethNter8	348	NA	NA	NA
m4A	132	33	8	m4A_33_DimethNter8	NA	479	NA	NA
m4A	134	34	4	m4A_34_DimethNter4	NA	155	NA	NA
m4A	142	38	4	m4A_38_DimethNter4	NA	548	NA	NA
m4A	144	39	4	m4A_39_DimethNter4	NA	692	NA	NA
m4A	154	44	4	m4A_44_DimethNter4	NA	NA	NA	NA
m4A	156	34	8	m4A_34_DimethNter8	329	NA	NA	NA
m4A	162	37	8	m4A_37_DimethNter8	NA	73	NA	NA
m4A	164	38	8	m4A_38_DimethNter8	NA	424	NA	NA
m4A	170	41	8	m4A_41_DimethNter8	NA	192	NA	NA
m4A	178	45	4	m4A_45_DimethNter4	NA	NA	NA	NA
m4A	184	48	4	m4A_48_DimethNter4	240	NA	NA	NA
m4A	188	50	4	m4A_50_DimethNter4	186	NA	NA	NA
m4A	190	51	4	m4A_51_DimethNter4	157	NA	NA	NA
m4A	192	52	4	m4A_52_DimethNter4	721	NA	NA	NA
m4A	194	53	4	m4A_53_DimethNter4	210	NA	NA	NA
m4A	196	54	4	m4A_54_DimethNter4	705	NA	NA	NA
m4A	210	50	8	m4A_50_DimethNter8	394	NA	NA	NA
m4A	214	52	8	m4A_52_DimethNter8	838	NA	NA	NA
m4A	216	53	8	m4A_53_DimethNter8	561	NA	NA	NA
m4A	220	55	8	m4A_55_DimethNter8	266	NA	NA	NA
m4A	242	66	4	m4A_66_DimethNter4	415	NA	NA	NA
m4A	254	61	8	m4A_61_DimethNter8	507	NA	NA	NA
m4A	264	66	8	m4A_66_DimethNter8	440	NA	NA	NA
m4A	266	67	4	m4A_67_DimethNter4	238	NA	NA	NA
m4A	272	70	4	m4A_70_DimethNter4	599	NA	NA	NA
m4A	274	71	4	m4A_71_DimethNter4	438	NA	NA	NA
m4A	278	73	4	m4A_73_DimethNter4	736	NA	NA	NA
m4A	280	74	4	m4A_74_DimethNter4	195	NA	NA	NA
m4A	290	68	8	m4A_68_DimethNter8	539	NA	NA	NA
m4A	292	69	8	m4A_69_DimethNter8	361	NA	NA	NA
m4A	304	75	8	m4A_75_DimethNter8	NA	NA	NA	NA
m4A	306	76	8	m4A_76_DimethNter8	NA	NA	NA	NA
m4A	308	77	8	m4A_77_DimethNter8	NA	NA	NA	NA
m5C	8	4	4	m5C_04_DimethNter4	540	NA	NA	NA
m5C	10	5	4	m5C_05_DimethNter4	909	NA	NA	NA
m5C	12	6	4	m5C_06_DimethNter4	NA	NA	NA	NA
m5C	16	8	4	m5C_08_DimethNter4	930	NA	NA	NA
m5C	18	9	4	m5C_09_DimethNter4	592	NA	NA	NA
m5C	22	11	4	m5C_11_DimethNter4	174	NA	NA	NA
m5C	44	11	8	m5C_11_DimethNter8	404	NA	NA	NA
m5C	50	14	4	m5C_14_DimethNter4	NA	NA	NA	NA
m5C	54	16	4	m5C_16_DimethNter4	65	NA	NA	NA
m5C	66	22	4	m5C_22_DimethNter4	238	NA	NA	NA
m5C	72	14	8	m5C_14_DimethNter8	858	NA	NA	NA
m5C	76	16	8	m5C_16_DimethNter8	243	NA	NA	NA
m5C	80	18	8	m5C_18_DimethNter8	91	NA	NA	NA
m5C	82	19	8	m5C_19_DimethNter8	369	NA	NA	NA
m5C	106	31	4	m5C_31_DimethNter4	NA	NA	NA	NA
m5C	108	32	4	m5C_32_DimethNter4	416	NA	NA	NA
m5C	114	24	8	m5C_24_DimethNter8	483	NA	NA	NA
m5C	128	31	8	m5C_31_DimethNter8	137	NA	NA	NA
m5C	140	37	4	m5C_37_DimethNter4	NA	312	NA	NA
m5C	160	36	8	m5C_36_DimethNter8	467	NA	NA	NA
m5C	162	37	8	m5C_37_DimethNter8	313	NA	NA	NA
m5C	174	43	8	m5C_43_DimethNter8	NA	133	NA	NA
m5C	212	51	8	m5C_51_DimethNter8	406	NA	NA	NA
m5C	216	53	8	m5C_53_DimethNter8	311	NA	NA	NA
m5C	236	63	4	m5C_63_DimethNter4	436	NA	NA	NA
m5C	238	64	4	m5C_64_DimethNter4	232	NA	NA	NA
m5C	244	56	8	m5C_56_DimethNter8	421	NA	NA	NA
m5C	260	64	8	m5C_64_DimethNter8	NA	NA	NA	NA
m5C	268	68	4	m5C_68_DimethNter4	448	NA	NA	NA
m5C	274	71	4	m5C_71_DimethNter4	248	NA	NA	NA
m5C	286	77	4	m5C_77_DimethNter4	565	NA	NA	NA
m5C	290	68	8	m5C_68_DimethNter8	341	NA	NA	NA
m5C	304	75	8	m5C_75_DimethNter8	NA	NA	NA	NA
m5C	306	76	8	m5C_76_DimethNter8	NA	NA	NA	NA
m5C	308	77	8	m5C_77_DimethNter8	NA	NA	NA	NA
m3B	133	1	4	m3B_01_DimethNter4	NA	642	NA	NA
m3B	135	2	4	m3B_02_DimethNter4	NA	752	NA	NA
m3B	143	6	4	m3B_06_DimethNter4	NA	NA	NA	NA
m3B	201	13	8	m3B_13_DimethNter8	NA	NA	NA	NA
m3B	219	22	8	m3B_22_DimethNter8	456	NA	NA	NA
m3B	245	24	8	m3B_24_DimethNter8	NA	445	NA	NA
m3B	303	42	8	m3B_42_DimethNter8	NA	NA	NA	NA
m3B	305	43	8	m3B_43_DimethNter8	NA	NA	NA	NA
m3B	307	44	8	m3B_44_DimethNter8	NA	NA	NA	NA
m3B	136	46	4	m3B_46_DimethNter4	NA	NA	NA	NA
m3B	142	49	4	m3B_49_DimethNter4	NA	NA	NA	NA
m3B	144	50	4	m3B_50_DimethNter4	NA	NA	NA	NA
m3B	164	49	8	m3B_49_DimethNter8	NA	478	NA	NA
m3B	166	50	8	m3B_50_DimethNter8	NA	821	NA	NA
m3B	174	54	8	m3B_54_DimethNter8	NA	97	NA	NA
m3B	234	73	4	m3B_73_DimethNter4	NA	NA	NA	NA
